"LogMode","MaximumSizeInBytes","RecordCount","LogName","TimeCreated","LevelDisplayName"
"Circular","1052672","5","Microsoft-Windows-ModernDeployment-Diagnostics-Provider/Autopilot","26.07.2023 20:00:04","Предупреждение"
"Circular","1052672","5","Microsoft-Windows-ModernDeployment-Diagnostics-Provider/Autopilot","26.07.2023 20:00:04","Предупреждение"
"Circular","1052672","15","Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational","28.09.2023 9:47:24","Ошибка"
"Circular","1052672","15","Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational","28.09.2023 9:47:24","Ошибка"
"Circular","1052672","15","Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational","28.09.2023 9:47:23","Ошибка"
"Circular","1052672","566","Microsoft-Windows-LiveId/Operational","12.12.2024 12:09:20","Сведения"
"Circular","1052672","566","Microsoft-Windows-LiveId/Operational","12.12.2024 12:09:20","Сведения"
"Circular","1052672","566","Microsoft-Windows-LiveId/Operational","12.12.2024 12:09:19","Сведения"
"Circular","1052672","183","Microsoft-Windows-LanguagePackSetup/Operational","10.12.2024 12:35:59","Сведения"
"Circular","1052672","183","Microsoft-Windows-LanguagePackSetup/Operational","10.12.2024 12:35:58","Сведения"
"Circular","1052672","183","Microsoft-Windows-LanguagePackSetup/Operational","07.12.2024 9:05:30","Сведения"
"Circular","1052672","1951","Microsoft-Windows-Known Folders API Service","12.12.2024 10:59:14","Предупреждение"
"Circular","1052672","1951","Microsoft-Windows-Known Folders API Service","12.12.2024 10:59:14","Предупреждение"
"Circular","1052672","1951","Microsoft-Windows-Known Folders API Service","12.12.2024 9:16:21","Предупреждение"
"Circular","33554432","1681","Microsoft-Windows-Kernel-WHEA/Operational","12.12.2024 8:55:29","Сведения"
"Circular","33554432","1681","Microsoft-Windows-Kernel-WHEA/Operational","12.12.2024 8:55:28","Сведения"
"Circular","33554432","1681","Microsoft-Windows-Kernel-WHEA/Operational","12.12.2024 8:55:28","Сведения"
"Circular","33554432","18","Microsoft-Windows-Kernel-WHEA/Errors","20.11.2024 8:21:41","Сведения"
"Circular","33554432","18","Microsoft-Windows-Kernel-WHEA/Errors","18.10.2024 10:45:26","Сведения"
"Circular","33554432","18","Microsoft-Windows-Kernel-WHEA/Errors","14.10.2024 16:37:16","Сведения"
"Circular","1052672","1878","Microsoft-Windows-Kernel-ShimEngine/Operational","12.12.2024 10:36:23","Сведения"
"Circular","1052672","1878","Microsoft-Windows-Kernel-ShimEngine/Operational","12.12.2024 10:36:23","Сведения"
"Circular","1052672","1878","Microsoft-Windows-Kernel-ShimEngine/Operational","12.12.2024 9:41:57","Сведения"
"Circular","1052672","62","Microsoft-Windows-Kernel-PnP/Driver Watchdog","10.12.2024 6:44:32","Сведения"
